Overledene-Voornaam,Aantal
Hubere,1
Hubre,1
Huberina,1
Huberke,1
Hubert,500
Huberta,1932
Hubertdina,1
Huberte,2
Hubertertus,1
Hubertes,1
Hubertge,1
Hubertgen,2
Hubertha,98
Huberths,1
Huberthus,5
Huberti,195
HUberti,6
Hubertie,2
Hubertien,2
Hubertijne,1
Hubertina,280
Hubertinam,2
Hubertine,24
Hubertinus,3
Hubertis,3
Hubertje,9
Hubertjen,1
Hubertken,1
Huberts,2
Hubertum,7
Hubertus,11972
Hubertusjoanneszn,2
HubertusTheodorus,1
Huberus,4
Hubetien,1
Hubetta,1
Hubetus,1
Hubrechje,1
Hubrecht,77
Hubrechtien,1
Hubrechtje,1
Hubrechts,1
Hubregt,12
Hubrina,2
Hucla,1
Huerardi,1
Huge,1
Hugelina,1
Hugentjen,1
Hugh,1
Hugi,1
Hugia,1
Hugiena,1
Hugina,4
Hugine,1
Hugini,1
Hugius,1
Hugo,310
Hugo?,1
Hugobertus,1
Hugolina,1
Hugoline,1
Hugonia,4
Hugonis,1
Hugs,1
Hugues,1
Huguette,2
Hui,1
Huib,3
Huibarta,2
Huiberd,2
Huiberdien,32
Huiberdiena,20
Huiberdina,1011
Huiberdine,2
Huiberdje,2
Huiberedina,1
Huiberina,1
Huibert,1273
Huiberta,23
Huibertdientje,2
Huibertes,1
Huibertha,2
Huiberti,2
Huibertie,2
Huibertina,4
Huibertine,1
Huibertje,415
Huibertjen,1
Huibertken,1
Huibertq,1
Huibertus,135
Huibrecht,85
Huibrechtdina,2
Huibrechtje,1
Huibregt,63
Huiderdina,1
Huig,22
Huigbert,1
Huigbertus,1
Huigh,1
Huigje,8
Huigo,6
Huijb,23
Huijbart,2
Huijbartha,1
Huijbartus,2
Huijbeke,1
Huijbeken,5
Huijben,1
Huijber,4
Huijberd,6
Huijberdien,26
Huijberdiena,10
Huijberdijna,1
Huijberdin,1
Huijberdina,110
Huijberdine,2
Huijberdinna,2
Huijberdona,1
Huijberegt,9
Huijbergh,1
Huijberie,1
Huijberke,1
Huijbers,1
Huijbert,905
Huijberta,7
Huijbertdien,1
Huijberteijna,1
Huijbertgien,1
Huijbertha,2
Huijberthus,4
Huijbertie,17
Huijbertien,4
Huijbertijen,1
Huijbertijn,1
Huijbertijntgen,1
Huijbertijntien,1
Huijbertina,12
Huijbertje,103
Huijbertjen,7
Huijbertken,5
Huijbertus,154
Huijbort,1
Huijbrech,1
Huijbrecht,178
Huijbrechtien,1
Huijbrechtje,1
Huijbrechtjen,2
Huijbrechts,5
Huijbreght,12
Huijbregs,1
Huijbregt,74
Huijbregtje,3
Huijbregts,2
Huijch,2
Huijg,21
Huijgen,3
Huijgh,17
Huijgien,1
Huijgje,1
Huijgo,1
Huijltien,1
Huijme,3
Huijmen,5
Huijncken,1
Huijp,3
Huijpert,11
Huijpken,2
Huijsvrouw,3
Huimen,3
Huiperdina,1
Huipert,3
Huisvrouw,1622
Hujbert,1
Hulda,2
Huldrik,1
Hulertus,1
Humana,1
Humannes,1
Humbert,1
Humbertus,2
Humfreij,1
Humiliana,1
Humilitas,1
Humphre,1
Humphrij,1
Hunbertus,1
Hunerti,1
Hurasmus,1
Hurberdina,1
Hurbertus,2
Hurica,1
Huriye,1
Huseijn,1
HŸseyin,1
Husne,1
Husser,1
Hutoneij,1
Huub,1
Huug,1
Huverdina,1
Huverta,1
Huyb,1
Huyberdien,1
Huyberdiena,1
Huyberdina,19
Huybers,1
Huybert,215
Huyberta,2
Huybertgen,4
Huyberti,3
Huybertien,2
Huybertina,2
Huybertje,36
Huybertjen,1
Huybertus,13
Huybetje,1
Huybken,1
Huybracht,2
Huybrecht,46
Huybregt,5
Huych,2
Huyg,1
Huymiena,1
Hyachijntus,1
Hyachintus,2
Hyacinth,2
Hyacintha,3
Hyacinthus,12
Hyacintius,1
Hyacintus,9
Hyasintie,1
Hyasintus,1
Hybert,1
Hydwigis,1
Hye(ronimus),1
Hyl,2
Hyliger,2
Hylina,1
Hylke,3
Hyllegundis,1
Hyltien,9
Hylwigis,3
Hypolitus,5
Hyppolitus,2
Hyronima,1
Hyronimus,5
Iachimi,1
Iacoba,63
Iacobi,46
Iacobina,1
Iacobus,85
Iacoby,2
Iacomijn,3
Ian,1
Iannes,1
Iaspar,1
Ibe,1
Ibrahim,1
Ichien,1
Icke,1
Icken,3
Icunera,1
Ida,8091
Ida?,1
Idaa,2
IdaAdriana,1
Idacus,3
Idaeus,1
Idalett,1
Idalia,2
Idaline,1
Idamus,1
Ide,35
Idgen,1
Idia,1
Iditha,1
Ids,2
Idsert,1
Idskewillems,1
Iduwaert,1
Iebrandus,1
Ieda,3
Iede,1
Ieffken,1
Iefke,2
Iefken,3
Iemandus,1
Iemkje,1
Ien,3
Ieneke,1
Ieneken,1
Ienneke,3
Iennemarie,1
Ienno,2
Ierma,2
Ies,1
Iesabella,1
Iesador,1
Iesaias,1
Ietie,1
Ietje,4
Ietze,1
Ieuwen,2
Ifke,2
Ifken,15
Iftje?,1
Igardus,1
Ige,1
Igerom,1
Ighisbertus,1
Igidius,1
Igminia,1
Ignace,7
Ignantius,1
Ignas,1
Ignasia,1
Ignate,1
Ignatia,15
Ignatiatii,1
Ignatie,2
Ignatii,5
Ignatius,263
Ignatus,2
Ignaty,1
Ignatz,2
Ignau,1
Igora,1
Iijda,1
IJak,1
IJakobes,1
IJan,3
Ijang,1
IJanna,1
IJantie,1
IJbele,1
IJbeltje,6
IJbert,3
IJbertus,1
Ijcke,1
IJcken,6
IJda,256
IJdigjen,1
IJeb,1
IJeffke,1
IJeffken,1
IJefken,4
IJeken,1
IJemant,2
IJenneke,2
IJenneken,2
Ijervaas,1
IJffke,1
IJfje,2
IJfken,7
IJge,1
IJjmert,1
IJke,70
IJken,82
Ijken,1
IJlje,1
IJman,1
IJmant,1
Ijmbert,1
IJme,2
Ijme,1
IJmelinus,1
IJmen,1
IJmerdina,1
IJmert,25
IJmke,2
IJmkje,5
IJmpje,1
IJnte,3
IJohan,1
IJolanda,1
Ijoon,1
Ijpe,1
IJsaac,2
IJsaak,3
IJsabella,1
IJsac,1
IJsack,4
Ijsak,6
IJsakus,1
IJsboldus,1
IJsbout,1
IJsbrand,47
IJsbranda,2
IJsbrandt,1
IJsbrandus,1
IJsbrant,8
IJsebel,1
IJsebertus,1
IJsebrand,9
IJsebrandt,3
IJsebrandus,7
IJsebrant,6
IJsebranta,1
IJsenbrand,1
IJsenbrandus,2
IJsidorus,1
IJske,2
IJsken,2
IJtgen,2
IJtghen,2
IJthje,2
IJthjen,1
IJtien,2
IJtijen,1
IJtje,2
IJtjen,3
IJudik,1
IJva,1
IJvedijk,1
IJven,2
IJver,1
IJverdien,1
IJvo,1
IJvonne,4
Ijvonne,1
IJzaak,2
IJzaŠk,1
IJzabel,4
IJzabrand,2
IJzack,1
IJzak,16
IJzebrand,11
Ijzebrandt,1
IJzenbrand,2
Ijzenbrand,1
Ika,3
Ike,9
Iken,79
Ilah,1
Ilda,3
Ildefonsus,2
Ildegondis,1
Ildephons,2
Ildephonse,1
Ildephonsus,1
Ilfriede,1
Ilgen,1
Ilka,1
Illeken,1
Illis,1
Ilona,2
Ils,1
Ilse,7
Ilya,1
Ilza,2
Iman,24
Imant,2
Imbert,2
Imberts,1
Imelda,6
Imert,1
Imes,1
Imilius,1
Imka,1
Imke,5
Imma,1
Immanuel,2
Immegina,1
Immel,2
Immelia,2
Immelken,1
Immer,1
Immerentiana,2
Immert,4
Immetje,3
Immij,1
Immy,1
Imre,1
Ina,15
Inasius,1
Incelberta,1
Ind,1
Indick,1
Ine,1
Ineke,3
Ineken,1
Inexken,1
Inez,2
Inge,6
Ingeborg,2
Ingeborgh,1
Ingelberta,1
Ingelbertus,1
Ingelina,3
Ingen,3
Ingena,3
Ingenasiens,1
Ingenasius,1
Ingenatius,2
Ingentje,1
Ingenus,5
Ingetgen,1
Ingetie,3
Ingetje,19
Ingina,1
Ingje,1
Ingrid,17
Ingvard,3
Inje,1
Inne,1
Inneke,2
Inneken,3
Innemaria,1
Innocensa,1
Innocentia,2
Innocentius,9
Inouschka,1
Insanna,1
Inse,1
Inskje,1
Ioachim,5
Ioachimi,3
Ioann,1
Ioanna,698
Ioanna-Cornely,1
Ioanna-Petri,1
Ioannen,1
Ioannes,596
Ioannes-Ioannes,1
Ioannis,380
Ioannus,3
Ioanny,9
IOanny,1
Ioghum,1
Iohanna,2
Iohannis,1
Iona,2
Ioose,1
Ioosijn,1
Ioost,6
Ioris,1
Ioseph,1
Iosepha,2
Iosephi,31
Iosephine,1
Iosephus,32
Iosijna,5
Iosijntie,1
Iosina,14
Iosine,3
Iosphie,1
Ipo,1
Ipolitus,1
Ipsius,1
Ircken,2
Ireij,1
Iren,1
Irena,9
Irenaens,1
Irene,30
IrŽnee,1
IreneŸs,1
Irenus,1
Irma,47
Irmaken,1
Irmegardis,1
Irmgardus,1
Irmina,1
Ironis,1
Isa,3
Isaac,469
IsaŠc,8
Isaack,55
Isaacq,10
Isaacus,11
Isaacx,1
Isaak,143
IsaŠk,5
Isaaq,1
Isabeau,2
Isabel,60
Isabela,6
Isabele,1
Isabell,2
Isabella,1719
Isabelle,41
Isabello,1
Isabeth,1
Isabrau,1
Isac,39
Isack,34
Isack(heer),1
Isacq,4
Isacus,6
Isacx,1
Isadoor,1
Isador,3
Isadorus,2
Isaeck,1
Isaek,9
Isaias,3
Isak,54
Isaka,1
Isarael,1
Isboldus,3
Isbores,1
Isboubt,1
Isboudus,1
Isbout,1
Isbouts,1
Isbrand,3
Isbrandina,2
Isbrandt,5
Isbrandus,20
Isbrant,11
Isebaldus,1
Isebel,7
Isebella,1
Isebelle,1
Isebeu,1
Isebrand,9
Isebrandis,1
Isebrandt,2
Isebrandus,20
Isebrant,18
Isedoor,2
Isedor,2
Isedora,10
Isedore,3
Isedoris,1
Isedorus,36
Isegael,1
Isella,1
Isenbrant,2
Iseriäl,1
Isfrida,1
Isfridus,2
Isias,2
Isidoor,14
Isidor,12
Isidora,5
Isidore,16
Isidorius,3
Isidorus,116
Isjen,1
Iske,4
Iskea,1
Isken,5
Islandus,1
Ismael,2
Ismarie,1
Isodora,2
Isodorus,25
Israäl,1
Israel,51
Isra‘l,15
Isreal,1
Issabella,1
Issak,1
Issebrandus,1
Issebrant,1
Istv‡n,1
Itelius,1
Itgen,7
Itghen,3
Iti,1
Itie,2
Itien,1
Itij,1
Itijen,1
Itje,2
Itjen,7
Itken,1
Itske,2
Iudit,1
Iudith,6
Iudoca,3
Iudoci,5
Iudocus,8
Iusti,2
Iustina,3
Iustine,1
Iustus,2
Iuvenal,1
Iva,8
Ivanna,2
Ive,2
Iven,10
Ivetta,11
Ivette,1
Ivia,1
Ivina,1
Ivo,221
Ivone,3
Ivonis,3
Ivonna,3
Ivonne,21
Ivora,3
Iwan,6
Iwana,2
Iwen,3
Iza,4
Izaac,6
Izaak,202
Iza‡k,1
IzaŠk,36
IzŠak,2
Izaaka,1
Izabel,3
Izabella,53
Izac,2
Izack,3
Izak,119
J(o)annes,2
J(oannes),2
J:,1
J:Maria,1
Ja,4
Ja:,1
Jaabje,1
Jaac,2
Jaacoobus,1
Jaacoop,1
Jaak,5
Jaakske,1
Jaan,17
Jaane,1
Jaaneke,1
Jaanemie,1
Jaanis,1
Jaanna,1
Jaant,2
Jaantie,4
Jaantje,106
Jaantjen,1
Jaanus,1
Jaap,1
Jaapie,1
Jaapik,1
Jaapje,101
Jaapke,1
Jaapze,1
Jaat,1
Jaatje,4
Jaaxke,3
Jaaxken,1
Jaayke,1
Jabikje,1
Jabobus,1
Jac,9
Jacalijn,1
Jacamina,1
Jacbbus,1
Jacbus,4
Jacco,1
Jaccobus,1
Jaccomijn,1
Jacemina,1
Jacgueline,1
Jacgues,1
Jachimus,1
Jachomijn,1
Jachomijntje,1
Jachomina,2
Jacibus,2
Jack,3
Jackemijn,1
Jacken,2
Jackobus,1
Jackolijn,1
Jackomijn,1
Jackomina,2
Jackomyn,1
Jackske,1
JŠcksken,1
Jaco,4
Jacob,6226
Jacob:,1
Jacoba,18609
Jacobaea,1
Jacobaje,1
Jacobam,3
Jacobanus,1
JacobaTheresia,1
Jacobba,1
Jacobbina,1
Jacobe,3
Jacobea,3
Jacobes,7
Jacob-Ferdor,1
Jacobgen,1
Jacobi,138
Jacobies,1
Jacobij,4
Jacobijn,4
Jacobijna,1
Jacobijntje,1
Jacobijntjen,1
Jacobin,1
Jacobina,140
Jacobine,3
Jacobinna,1
Jacobinus,1
Jacobis,13
Jacobje,6
Jacobjen,2
Jacobken,1
Jacobmijn,3
Jacobmijna,7
Jacobmijnen,1
Jacobmijnken,1
Jacobmijnthie,1
Jacobmijntie,1
Jacobmijntien,4
Jacobmijntje,4
Jacobmijntken,1
Jacobmina,12
Jacobna,1
Jacobo,2
Jacobp,4
Jacobris,1
Jacobs,19
Jacobsen,1
Jacobske,1
Jacobsken,4
Jacobtje,1
Jacobu,2
Jacobua,3
Jacobubs,1
Jacobuijs,1
Jacobum,13
Jacobus,47581
Jacobus(gem),1
Jacobus(Jan),1
Jacobusb,1
Jacobus-Franciscus,1
Jacobus-Joannes,1
Jacobusjosephus,1
Jacobusn,1
Jacobva,1
Jacoby,3
Jacobys,1
Jacoibus,1
Jacolina,1
Jacoline,1
Jacomeijn,25
Jacomeijna,3
Jacomeijnte,1
Jacomeijntgen,1
Jacomeijntje,11
Jacomeijntjen,1
Jacomeijtie,1
Jacomein,4
Jacomena,2
Jacomenis,1
Jacomeyn,2
Jacomeyntie,1
Jacomia,1
Jacomien,1
Jacomiena,7
Jacomientje,1
Jacomienus,1
Jacomij,1
Jacomijen,2
Jacomijn,472
Jacomijna,659
Jacomijne,11
Jacomijnken,14
Jacomijnte,3
Jacomijnten,2
Jacomijntge,5
Jacomijntgen,12
Jacomijntie,14
Jacomijntien,13
Jacomijntijen,5
Jacomijntje,110
Jacomijntjen,27
Jacomijntken,4
Jacomijtien,1
Jacomin,13
Jacomina,2101
Jacominam,1
Jacominca,1
Jacomine,30
Jacominna,2
Jacominnie,1
Jacomintje,3
Jacomintjen,2
Jacominum,1
Jacominus,15
Jacommijntje,1
Jacommine,1
Jacomona,1
Jacomyn,44
Jacomyna,35
Jacomyne,2
Jacomynken,1
Jacomynte,1
Jacomyntgen,3
Jacomyntie,3
Jacomyntien,2
Jacomyntje,18
Jacon,1
Jaconbus,2
Jaconijn,1
Jaconina,1
Jaconus,3
Jacooba,1
Jacoobis,1
Jacoobues,1
Jacoobus,5
Jacop,178
Jacopba,1
Jacopjen,1
Jacopmijne,1
Jacopmina,1
Jacopske,1
Jacopsken,1
Jacopt,1
Jacopus,1
Jacothea,1
Jacq,2
Jacqemijntje,1
Jacqeus,1
Jacqmine,1
Jacquas,1
Jacque,23
Jacquelina,37
Jacqueline,181
Jacquelinne,1
Jacquemijn,1
Jacquemijna,1
Jacquemijnte,1
Jacquemina,17
Jacquemine,5
Jacquemyken,1
Jacques,514
Jacquette,1
Jacquiline,1
Jacqulina,1
Jacquline,1
Jacquobe,1
Jacquomina,1
Jacquomine,1
Jacqus,1
Jacs,1
Jacumina,2
Jacuques,1
Jacus,1
Jacvoba,1
Jadesken,1
Jaeck,1
Jaeckemijn,1
Jaecop,2
Jaecqemijne,1
Jaecquemij,1
Jaecques,3
Jaecquette,1
Jaecxen,1
Jaecxke,4
Jaecxken,8
Jaeksken,1
Jaekxken,1
Jaen,61
Jaeneken,3
Jaenette,2
Jaenken,43
Jaenna,2
Jaenne,4
Jaennies,2
Jaenraenten,2
Jaentien,1
Jaentje,7
Jaentjen,1
Jaentye,1
Jaeomina,1
Jaepke,1
Jaepken,5
Jaeque,1
Jaequen,1
Jaeques,1
Jaeraen,2
Jaeraenten,2
Jaesper,2
Jaespers,1
Jaet,2
Jaexke,4
Jaexken,11
Jaexquen,2
Jager,1
Jahanna,5
Jahannes,5
Jahoannes,1
Jaijke,1
Jain,1
Jajoba,1
Jakelijn,1
Jakelijna,1
Jakemeijntje,1
Jakemijn,6
Jakemijna,1
Jakemijne,1
Jakemijnken,3
Jakemijntgen,1
Jakemijntie,1
Jakemina,5
Jakeminke,1
Jaken,1
Jakes,2
Jakkemien,1
Jakkemijn,2
Jakkemijna,1
Jakki,1
Jakmijn,1
Jakob,326
Jakoba,147
Jakobes,5
Jakobijna,1
Jakobina,1
Jakobine,1
Jakobis,1
Jakobjen,1
Jakobken,1
Jakobsken,1
Jakobus,351
Jakoma,1
Jakomeijna,1
Jakomeijntje,1
Jakomijn,26
Jakomijna,13
Jakomijntie,8
Jakomijntijen,1
Jakomijntje,13
Jakomina,26
Jakomyn,5
Jakoobaas,1
Jakoobis,3
Jakoobus,2
Jakoop,1
Jakop,29
Jakson,1
Jam,3
James,29
Jamijna,1
Jamin,1
Jams,1
Jan,49573
Jan:adriaan,1
Jan?,6
Jana,83
Janake,1
Janania,1
Janau,1
Janbatist,1
Jancobus,1
Jane,10
Janecien,1
Janeke,12
Janeken,3
Janemie,5
Janes,1
Janet,3
Janetje,3
Janeton,1
Janetta,12
Janette,17
Jan-Hanna,1
Janien,1
Janighie,1
Janigje,5
Janikke,1
Janis,5
Janje,1
Janje-Joannis,1
Janjen,1
Janke,18
Janken,4
Jankens,1
Janko,1
Janlanders,1
Janma,1
Jann,1
Janna,784
Jannam,1
JannaMarij,1
Jannarius,1
Janncke,1
Janne,10
Jannechie,1
Jannechje,1
Jannechjen,1
Jannecke,1
Jannecken,6
Jannegie,8
Jannegien,1
Jannegje,18
Janneje,1
Jannek,6
Janneke,1024
Janneken,952
Jannekien,1
Jannekke,1
Jannelie,1
Jannemarie,2
Jannemarij,1
Jannemey,1
Jannemi,3
Jannemie,26
Jannen,1
Jannenij,1
Jannes,89
Jannesken,1
Jannet,7
Jannete,1
Jannetge,3
Jannetgen,2
Jannetie,38
Jannetien,5
Jannetijen,1
Jannetje,372
Jannetjen,11
Jannett,1
Jannetta,16
Jannette,20
Jannettha,1
Jannettie,1
Jannettje,2
Janngje,1
Janni,2
Janniche,2
Jannichie,13
Jannichien,5
Jannichje,13
Jannichjen,3
Jannicho,1
Jannickie,1
Jannickje,1
Jannie,7
Jannieken,1
Jannietje,1
Jannige,2
Jannighje,1
Jannighjen,2
Jannigie,4
Jannigije,2
Jannigje,721
Jannigjen,6
Jannigtje,1
Jannij,5
Jannine,1
Janniogje,1
Jannis,24
Jannitie,3
Jannitje,3
Jannitjen,1
Jannneken,2
Janns,1
Jannuijs,1
Jannus,5
Janny,3
Jannyken,3
Janos,1
JanPeter,1
Jans,167
Janschemeus,1
Janse,1
Jansek,1
Jansen,6
Jansien,1
Jansje,186
Janske,90
Jansken,4
Jansse,1
Janssen,9
Janst,1
Jansy,1
Jansys,1
Janten,1
Jantgen,2
Jantie,34
Jantien,19
Janti‘n,2
Jantiena,6
Jantije,1
Jantina,17
Jantje,307
Jantje?,1
Jantjen,29
Jantye,1
Jantyen,1
Januarius,2
Januel,1
Janus,77
Janvier,1
Jan-Willem,1
Jaoba,2
Jaobus,4
Jaocba,1
Jaocbus,4
Jaomijn,1
Jaonna,1
Jaonnes,1
Jaonnis,1
Japhet,1
Japick,4
Japie,1
Japigh,1
Japijk,1
Japik,12
Japina,5
Japke,2
Japodina,1
Jaqeus,1
Jaqijes,1
Jaquamina,1
Jaque,14
Jaquelijn,2
Jaquelina,8
Jaqueline,38
Jaquemena,1
Jaquemijken,1
Jaquemijn,13
Jaquemijna,7
Jaquemijne,2
Jaquemijnken,4
Jaquemijntgen,4
Jaquemijntie,2
Jaquemijntien,2
Jaquemijntje,1
Jaquemina,35
Jaquemine,5
Jaquemyn,1
Jaquemyna,2
Jaquemyne,1
Jaquemyntien,1
Jaquemyntje,2
Jaquemyntken,10
Jaques,156
Jaquette,4
Jaquiline,1
Jaraen,10
Jaraente,2
Jaraenten,24
Jardanus,1
Jariaentje,1
Jarig,4
Jarigje,1
Jarijna,1
Jarina,1
Jaring,5
Jaroslav,1
Jarraenten,1
Jas,1
Jascken,1
Jaseperina,1
Jasferijn,1
Jasina,1
Jason,6
Jaspaer,1
Jaspaert,1
Jaspar,232
Jaspard,1
Jaspardina,1
Jaspare,1
Jaspares,1
Jaspargus,1
Jasparina,8
Jasparis,5
Jaspart,4
Jasparus,35
Jaspas,1
Jasper,539
Jaspera,2
Jasperd,14
Jasperdien,3
Jasperdina,23
Jasperida,1
Jasperien,1
Jasperijn,10
Jasperijntien,1
Jasperijntje,2
Jasperijntjen,1
Jasperijntken,2
Jasperina,42
Jasperine,1
Jasperinke,1
Jasperius,1
Jaspers,5
Jaspert,38
Jasperus,9
Jaspirijn,1
Jaspre,2
Jasprijn,1
Jasprijna,1
Jasprina,3
Jattobus,1
Jaugerica,1
Jaxke,1
Jaxken,13
Jazijn,1
Jcobus,1
Jda,2
Jeacqueline,1
Jeacques,1
Jean,3405
Je‡n,1
Jeana,1
Jeane,21
Jeanekke,1
Jeanenette,1
Jeanete,1
Jeanetta,34
Jeanette,182
Jeanettte,1
Jeanna,21
Jeanne,1888
JŽanne,1
Jeannemarie,13
Jeannemie,3
Jeannes,1
Jeannet,4
Jeannete,1
Jeannetje,1
Jeanneton,2
Jeannett,1
Jeannetta,68
Jeannette,373
Jeannie,1
Jeannine,2
Jeannot,1
Jeantje,2
Jecken,1
Jedocus,1
Jeedan,1
Jeelis,1
Jeena,1
Jeenenij,1
Jeeuwfresinga,1
Jeffken,1
Jeffry,2
Jefje,1
Jefke,2
Jefken,9
Jefte,1
Jehan,1
Jehanna,34
Jehanne,2
Jehanneke,3
Jehona,1
Jehoshua,1
Jeichien,1
Jeichina,1
Jeijken,1
Jeijntje,1
Jeike,1
Jeilis,1
Jek,1
Jekart?,1
Jeldo,1
Jeleijntje,1
Jeles,1
Jelesina,1
Jelier,1
Jelies,1
Jelijnken,1
Jelijntien,2
Jelijs,5
Jelina,1
Jelis,32
Jelke,1
Jelle,17
Jelleken,2
Jelles,1
Jelliana,1
Jellichien,1
Jelligje,1
Jellis,7
Jelsje,1
Jelte,6
Jeltie,1
Jeltje,21
Jelyntjen,1
Jemes,1
Jemico,1
Jemijma,1
Jemmina,1
Jems,1
Jen,228
Jen(n)eke,1
Jenamie,1
Jencomin,1
Jencomina,1
Jene,4
Jeneke,21
Jeneken,27
Jenemari,1
Jenemaria,4
Jenemarie,2
Jenemi,4
Jenemia,1
Jenemie,19
Jenemieke,1
Jenetta,26
Jenette,20
Jengen,1
Jenieke,1
Jenisken,1
Jenke,85
Jenken,71
Jenkomina,2
JenkominaØ?,1
Jenmara,1
Jenmi,10
Jenmie,8
Jenn,2
Jenna,19
Jennais,1
Jennamaria,9
Jennamina,1
Jenne,381
Jennecken,1
Jenneettie,1
Jennegje,1
Jennek,13
Jenneke,5120
Jennekek,1
Jennekem,1
Jenneken,4162
Jenneken:peeter,1
Jennelien,1
Jennem,1
Jennemarey,1
Jennemari,33
Jenne-Mari,1
Jennemaria,272
Jenne-Maria,1
Jennemarie,138
Jenne-Marie,1
Jennemariea,1
Jennemarieken,1
Jennemarij,14
Jennemarije,1
Jennemei,1
Jennemerij,2
Jennemi,90
Jennemia,7
Jennemie,1164
Jennemiek,1
Jennemieke,29
Jennemieken,1
Jennemij,13
Jennemijke,5
Jennemike,12
Jennemikke,1
Jennemina,3
Jennemis,1
Jennemy,1
Jennenij,1
Jennes,1
Jennesta,1
Jennet,2
Jenneta,1
Jennetgen,1
Jennetje,7
Jenneton,1
Jennetta,3
Jennette,10
Jenni,1
Jennicke,5
Jennicken,2
Jennie,4
Jennigje,6
Jennij,15
Jennika,1
Jennike,3
Jenniken,8
Jennikke,1
Jenniske,1
Jennisken,1
Jennke,1
Jennken,6
Jennmarie,1
Jennmaris,1
Jennmi,1
Jennmie,1
Jennneken,2
Jenno,26
Jenny,5
Jenrich,2
Jenricus,2
Jens,3
Jensken,1
Jenssemie,1
Jenten,1
Jentiena,1
Jentina,2
Jentje,25
Jentjen,4
Jeranken,1
Jerassemie,1
Jerda,1
Jeremia,3
Jeremias,69
Jeremie,2
Jeremina,1
Jerfaas,1
Jerijna,1
Jerijntge,1
Jerimies,2
Jerina,3
Jero,4
Jeroen,17
Jeroena,1
Jerome,11
Jeromes,1
Jeromina,1
Jeron,1
Jeronemus,1
Jeronijmus,8
Jeronimus,25
Jeronymus,1
Jeroom,1
Jeroon,4
Jerosme,1
Jeroulouinus,1
Jerramie,1
Jervers,1
Jerves,1
Jeryna,1
Jerzy,1
Jesaias,4
Jesebel,1
Jeseijn,3
Jeseijntie,1
Jesephus,1
Jesiena,1
Jesijn,12
Jesijna,4
Jesijntie,2
Jesijntien,2
Jesijntje,4
Jesina,8
Jesine,1
Jeske,3
Jesken,5
Jesper,12
Jesperina,4
Jesprina,1
Jesse,1
Jessica,1
Jessina,1
Jessken,1
Jester,1
Jestienis,1
Jesualda,1
Jesuna,1
Jesyna,3
Jet,3
Jetha,2
Jethro,4
Jetje,18
Jetke,1
Jetro,1
Jetsche,1
Jetske,8
Jetta,16
Jette,2
Jettha,2
Jettie,1
Jetze,7
Jeu,1
Jeuckemij,1
Jeuckemijn,2
Jeucomin,1
Jeucomina,2
Jeucxke,1
Jeucxken,2
Jeudick,1
JeukominaØ?,1
Jeuneke,1
Jeupken,2
Jeurgen,1
Jeuri,1
Jeuriaen,6
Jeuriana,1
Jeurie,2
Jeurien,8
Jeurijen,3
Jeurijntjen,1
Jeurina,1
Jeuris,2
Jeurjen,1
Jeurrien,1
Jeurus,1
Jeuryntgen,1
Jeust,3
Jeustje,8
Jeuwen,2
Jeuxke,1
Jeuxken,4
Jevina,1
Jey,1
Jezijna,3
Jezijntje,1
Jezyna,1
Jgnatius,1
Jhanna,1
Jhannes,1
Jhon,1
Jhone,1
Jhuneken,1
Jida,2
Jiefken,2
Jieft,1
Jieles,1
Jielis,4
Jielisken,1
Jihannes,1
Jijles,1
Jijlis,3
Jijntje,1
Jijnus,2
Jijs,1
Jijtze,1
Jikkeja,2
Jil,1
Jilda,1
Jildert,1
Jildo,1
Jilis,28
Jilke,1
Jilkje,1
Jilles,18
Jilliana,1
Jillis,40
Jilliske,1
Jilus,1
Jimis,1
Jin,1
Jinke,1
Jinthis,1
Jiohanna,1
Jiohannes,2
Jippe,2
Jiremias,2
Jisebrant,1
Jisfellina,1
Jisina,1
Jisk,1
Jiskje,1
Jitge,1
Jitgen,1
Jitie,1
Jitjen,1
Jitske,4
Jjenneke,2
Jkhr,1
JKohannes,1
Jn,10
Jnohannis,1
Jo,14
Jo0hannes,1
Joa,388
Joa--,18
Joaana,4
Joaanes,4
Joaannes,1
Joachem,27
Joachemijn,4
Joachemina,3
Joacheminus,1
Joachgim,2
Joachiem,4
Joachiemus,3
Joachijm,2
Joachijmus,2
Joachim,621
JoŠchim,1
Joachima,13
Joachime,1
Joachimi,4
Joachimia,2
Joachimie,1
Joachimijn,1
Joachimis,1
Joachimius,2
Joachimma,1
Joachimus,297
Joachina,1
Joachinus,3
Joachu(m),1
Joachum,10
Joacim,2
Joacoba,2
Joacomina,1
Joaes,2
Joaghim,1
Joaghimus,1
Joahan,1
Joahanna,8
Joahannes,1
Joahannis,1
Joahna,1
Joahnna,5
Joahnnes,10
Joahnnus,1
Joamaria,1
Joamman,1
Joammes,1
Joamnnes,1
Joan,138
JoŠn,1
Joan:,3
Joana,14
Joanchim,1
Joanem,1
Joanens,1
Joanes,30
Joanetta,1
Joanette,2
Joani,1
Joanies,1
Joanina,3
Joanis,4
Joanmes,1
Joann,23
Joanna,92346
JoŠnna,6
Joanna?,1
Joanna-Catharina,1
Joannae,11
JoannaElisabeth,1
Joannaes,2
Joanna-jacoba,1
Joannake,1
Joannam,51
Joannamaria,8
Joanna-Maria,13
Joannamarij,1
Joannamie,1
